experience,test_score,interview_score,salary
0,9,5,56000
0,7,6,56000
0,4,4,56000
0,6,5,56000
0,9,7,56000
0,6,3,56000
0,9,10,56000
0,6,5,57000
0,5,8,57000
0,5,8,57000
0,4,5,57000
0,6,4,57000
0,6,6,57000
0,6,9,57000
0,7,7,57000
0,5,6,57000
0,9,3,57000
0,3,7,57000
0,7,3,57000
0,4,9,57000
0,7,8,57000
0,8,10,57000
0,10,3,57000
0,9,2,57000
0,5,4,57000
0,8,7,57000
0,4,8,57000
0,6,7,57000
0,8,4,58000
0,6,2,58000
0,4,8,58000
0,7,9,58000
0,3,8,58000
0,8,7,58000
0,6,7,58000
0,7,9,58000
0,8,4,58000
0,7,10,58000
0,6,3,58000
0,4,3,59000
0,3,9,59000
0,8,8,59000
0,8,5,59000
0,10,3,59000
0,4,7,59000
0,8,5,59000
0,10,4,59000
0,6,8,59000
0,2,9,59000
0,8,9,59000
0,3,8,59000
0,7,8,59000
0,3,7,59000
0,4,10,59000
0,9,2,59000
0,6,6,59000
0,10,2,59000
0,8,7,59000
0,5,7,59000
0,10,3,59000
0,6,8,59000
0,10,5,59000
0,9,5,59000
0,6,6,59000
0,4,5,59000
0,7,7,60000
0,4,8,60000
0,6,6,60000
0,6,3,60000
0,7,7,60000
0,10,1,60000
0,8,5,60000
0,9,8,60000
0,9,4,60000
0,4,6,60000
0,8,8,60000
0,6,9,60000
0,9,4,60000
0,9,2,60000
0,7,7,60000
0,7,6,60000
0,9,4,60000
0,4,5,60000
0,10,4,61000
0,5,8,61000
0,10,7,61000
0,7,5,61000
0,7,7,61000
0,4,7,61000
0,5,10,61000
0,6,8,61000
0,9,3,61000
0,9,5,61000
0,5,8,61000
0,2,10,61000
0,6,8,61000
0,6,8,61000
0,4,5,61000
0,10,4,61000
0,10,4,61000
0,8,3,61000
0,8,6,61000
0,8,9,62000
0,3,6,62000
0,6,7,62000
0,5,3,62000
0,9,4,62000
0,4,10,62000
0,6,6,62000
0,7,5,62000
0,3,9,62000
0,7,4,62000
0,4,7,62000
0,8,6,62000
0,8,8,62000
0,6,7,62000
0,10,5,62000
0,6,7,62000
0,6,7,62000
0,5,8,62000
0,8,2,63000
0,10,8,63000
0,9,6,63000
0,7,5,63000
0,7,9,63000
0,10,7,63000
0,10,4,63000
0,8,8,63000
0,9,7,63000
0,7,8,63000
0,4,8,63000
0,5,8,63000
0,3,9,63000
0,8,8,63000
0,7,6,63000
0,9,7,63000
0,1,10,63000
0,10,6,63000
0,3,9,63000
0,10,2,63000
0,9,8,63000
0,6,4,64000
0,8,6,64000
0,4,9,64000
0,6,5,64000
0,1,9,64000
0,7,7,64000
0,9,5,64000
0,10,5,64000
0,7,8,64000
0,9,3,64000
0,7,8,64000
0,10,5,64000
0,3,9,64000
0,6,8,64000
0,4,7,64000
0,7,5,64000
0,8,7,65000
0,7,9,65000
0,4,9,65000
0,10,6,65000
0,4,6,65000
0,7,5,65000
0,4,10,65000
0,10,3,65000
0,2,8,65000
0,6,7,65000
0,5,9,65000
0,8,6,65000
0,8,6,65000
0,7,10,65000
0,7,5,65000
0,10,4,65000
0,8,3,65000
0,4,10,65000
0,9,3,65000
0,9,5,65000
0,7,10,65000
0,7,8,65000
0,9,6,65000
0,8,7,65000
0,6,4,65000
0,7,9,66000
0,6,6,66000
0,6,8,66000
0,8,7,66000
0,8,8,66000
0,9,9,66000
0,9,4,66000
0,8,9,66000
0,4,6,66000
0,7,5,66000
0,5,5,66000
0,7,6,66000
0,6,7,66000
0,3,7,66000
0,5,7,66000
0,8,6,67000
0,6,7,67000
0,8,2,67000
0,7,7,67000
0,6,7,67000
0,10,3,67000
0,10,4,67000
0,7,9,67000
0,6,9,67000
0,10,4,67000
0,6,7,67000
0,5,9,67000
0,8,5,67000
0,2,10,67000
0,6,7,67000
0,5,7,67000
0,8,5,67000
0,3,5,67000
0,9,5,67000
0,4,5,67000
0,10,6,67000
0,7,7,67000
0,7,8,67000
0,6,9,67000
0,8,4,67000
0,2,8,68000
0,7,5,68000
0,8,7,68000
0,9,5,68000
0,6,9,68000
0,7,9,68000
0,7,6,68000
0,6,6,68000
0,5,7,68000
0,9,6,68000
0,6,9,68000
0,10,7,68000
0,10,4,68000
0,4,7,68000
0,6,6,68000
0,5,6,68000
0,6,8,68000
0,6,7,68000
0,2,9,68000
0,6,9,68000
0,9,6,68000
0,3,5,68000
0,2,8,68000
0,4,9,68000
0,8,7,68000
0,9,7,68000
0,6,6,68000
0,2,8,68000
0,8,9,69000
0,6,8,69000
0,10,6,69000
0,10,8,69000
0,10,1,69000
0,6,5,69000
0,7,8,69000
0,7,6,69000
0,8,8,69000
0,8,5,69000
0,8,1,69000
0,10,6,69000
0,6,6,69000
0,10,7,69000
0,7,5,69000
0,5,8,69000
0,10,4,69000
0,9,5,69000
0,10,5,69000
0,9,7,69000
0,10,5,69000
0,6,9,69000
0,8,4,69000
0,4,9,69000
0,10,2,69000
0,5,8,70000
0,9,3,70000
0,7,7,70000
0,7,4,70000
0,6,3,70000
0,5,10,70000
0,3,8,70000
0,7,7,70000
0,8,7,70000
0,7,7,70000
0,7,10,70000
0,6,9,70000
0,9,5,70000
0,8,6,70000
0,9,8,70000
0,4,8,70000
0,8,9,70000
0,7,7,70000
0,8,7,70000
0,4,10,70000
0,6,10,70000
0,7,7,71000
0,1,9,71000
0,5,7,71000
0,4,8,71000
0,5,8,71000
0,6,7,71000
0,10,5,71000
0,6,5,71000
0,5,6,71000
0,5,8,71000
0,9,9,71000
0,5,10,71000
0,6,8,71000
0,6,9,71000
0,8,7,71000
0,8,8,71000
0,4,7,71000
0,6,4,71000
0,7,7,71000
0,5,8,71000
0,9,3,71000
0,8,6,71000
0,2,9,71000
0,10,8,71000
0,9,9,71000
0,6,9,71000
0,5,6,71000
0,5,9,71000
0,10,7,71000
0,5,10,71000
0,8,8,71000
0,8,9,71000
0,7,7,71000
0,6,5,72000
0,4,9,72000
0,9,6,72000
0,7,6,72000
0,6,10,72000
0,8,8,72000
0,9,8,72000
0,8,6,72000
0,5,8,72000
0,8,7,72000
0,2,8,72000
0,7,9,72000
0,4,4,72000
0,7,7,72000
0,9,7,72000
0,5,3,72000
0,9,8,72000
0,8,8,72000
0,10,8,73000
0,8,6,73000
0,10,7,73000
0,7,6,73000
0,6,8,73000
0,6,9,73000
0,6,9,73000
0,10,7,73000
0,8,7,73000
0,2,9,73000
0,6,7,73000
0,9,3,73000
0,8,7,73000
0,5,7,73000
0,6,8,73000
0,6,4,73000
0,1,9,73000
0,9,7,73000
0,7,8,73000
0,10,5,73000
0,2,9,73000
0,10,8,73000
0,4,6,73000
0,7,6,73000
0,4,5,74000
0,6,7,74000
0,7,3,74000
0,8,7,74000
0,9,6,74000
0,8,6,74000
0,8,7,74000
0,4,10,74000
0,9,2,74000
0,6,10,74000
0,4,9,74000
0,7,5,74000
0,8,9,74000
0,7,7,74000
0,1,9,74000
0,7,8,74000
0,8,8,74000
0,9,5,74000
0,7,8,74000
0,8,6,75000
0,8,9,75000
0,7,10,75000
0,10,4,75000
0,5,9,75000
0,3,10,75000
0,7,5,75000
0,5,8,75000
0,7,6,75000
0,10,5,75000
0,10,6,75000
0,7,5,75000
0,5,8,75000
0,7,10,75000
0,8,5,75000
0,7,8,75000
0,3,10,75000
0,7,9,75000
0,8,7,75000
0,4,9,75000
0,7,4,75000
0,9,5,75000
0,5,8,75000
0,7,7,75000
0,7,8,75000
0,5,9,75000
0,6,8,76000
0,7,10,76000
0,6,9,76000
0,7,9,76000
0,5,9,76000
0,8,9,76000
0,3,8,76000
0,8,7,76000
0,9,8,76000
0,9,5,76000
0,10,3,76000
0,8,8,76000
0,4,8,76000
0,8,5,76000
0,6,8,76000
0,5,10,76000
0,7,8,76000
0,8,6,76000
0,10,7,76000
0,4,9,76000
0,8,9,76000
0,10,7,76000
0,3,9,76000
0,7,7,77000
0,3,9,77000
0,6,8,77000
0,6,7,77000
0,7,7,77000
0,4,10,77000
0,6,7,77000
0,6,7,77000
0,8,9,77000
0,5,7,77000
0,3,10,77000
0,6,10,77000
0,8,9,77000
0,7,7,77000
0,8,5,77000
0,9,2,77000
0,6,8,77000
0,8,9,77000
0,7,10,77000
0,7,7,77000
0,8,5,77000
0,5,9,77000
0,8,5,77000
0,5,7,77000
0,9,5,78000
0,8,8,78000
0,8,7,78000
0,9,8,78000
0,7,8,78000
0,6,9,78000
0,10,6,78000
0,7,7,78000
0,7,7,78000
0,8,10,78000
0,9,7,78000
0,7,6,78000
0,5,9,78000
0,8,8,78000
0,8,9,78000
0,8,9,78000
0,7,9,78000
0,5,8,78000
0,8,6,79000
0,7,7,79000
0,10,9,79000
0,8,6,79000
0,4,9,79000
0,8,6,79000
0,9,7,79000
0,10,4,79000
0,8,10,79000
0,6,8,79000
0,8,7,79000
0,8,10,79000
0,5,9,79000
0,8,9,79000
0,9,10,79000
0,4,9,79000
0,4,10,79000
0,8,5,79000
0,10,6,79000
0,10,8,79000
0,9,6,79000
0,8,8,79000
0,8,7,79000
0,10,8,79000
0,8,7,79000
0,5,10,80000
0,9,7,80000
0,5,8,80000
0,7,9,80000
0,7,9,80000
0,7,7,80000
0,5,9,80000
0,9,6,80000
0,9,3,80000
0,10,7,80000
0,10,5,80000
0,6,10,80000
0,5,10,80000
0,5,9,80000
0,6,7,80000
0,9,9,80000
0,7,9,80000
0,7,7,80000
0,8,6,80000
0,6,9,80000
0,8,7,80000
0,10,6,81000
0,5,10,81000
0,4,7,81000
0,9,5,81000
0,2,10,81000
0,3,10,81000
0,9,4,81000
0,8,4,81000
0,9,6,81000
0,8,10,81000
0,6,8,81000
0,9,8,81000
0,7,8,81000
0,10,7,81000
0,7,8,81000
0,8,8,82000
0,9,4,82000
0,9,10,82000
0,8,9,82000
0,9,7,82000
0,9,6,82000
0,10,8,82000
0,9,8,82000
0,4,10,82000
0,8,8,82000
0,8,8,82000
0,8,8,82000
0,9,8,82000
0,7,9,82000
0,2,9,82000
0,7,8,82000
0,5,8,82000
0,7,9,82000
0,7,9,82000
0,10,6,82000
0,8,9,82000
0,7,9,82000
0,8,6,82000
0,10,8,82000
0,4,7,82000
0,8,6,82000
0,9,8,82000
0,4,9,82000
0,7,9,83000
0,9,5,83000
0,9,8,83000
0,9,5,83000
0,10,5,83000
0,7,8,83000
0,10,10,83000
0,10,8,83000
0,9,10,83000
0,9,9,83000
0,5,10,83000
0,8,3,83000
0,10,8,84000
0,10,5,84000
0,4,10,84000
0,10,6,84000
0,8,10,84000
0,8,9,84000
0,8,9,84000
0,8,8,84000
0,7,10,84000
0,7,8,84000
0,8,8,84000
0,6,8,84000
0,8,6,84000
0,7,10,85000
0,10,5,85000
0,8,5,85000
0,8,10,85000
0,8,8,85000
0,7,7,85000
0,9,5,85000
0,5,9,85000
0,7,8,85000
0,5,10,85000
0,7,7,85000
0,6,9,85000
0,8,8,85000
0,7,6,85000
0,10,8,85000
0,9,8,85000
0,8,8,85000
0,6,9,85000
0,9,9,85000
0,6,9,86000
0,10,9,86000
0,10,8,86000
0,7,8,86000
0,5,10,86000
0,5,9,86000
0,9,9,86000
0,6,8,86000
0,7,6,86000
0,10,7,86000
0,9,10,86000
0,8,8,86000
0,9,10,86000
0,10,7,86000
0,7,8,86000
0,10,5,86000
0,8,7,86000
0,8,6,86000
0,9,10,86000
0,9,4,86000
0,6,8,86000
0,7,8,87000
0,8,8,87000
0,5,9,87000
0,8,8,87000
0,10,10,87000
0,8,7,87000
0,10,8,87000
0,10,10,87000
0,5,7,87000
0,7,7,87000
0,9,6,87000
0,7,8,87000
0,5,10,87000
0,6,8,87000
0,6,8,87000
0,9,8,87000
0,10,6,88000
0,8,9,88000
0,7,6,88000
0,9,7,88000
0,6,9,88000
0,9,8,88000
0,10,8,88000
0,7,8,88000
0,10,10,88000
0,2,10,88000
0,4,8,88000
0,10,7,88000
0,7,9,88000
0,8,8,88000
0,9,6,89000
0,10,4,89000
0,4,8,89000
0,7,10,89000
0,10,8,89000
0,10,3,89000
0,7,7,89000
0,9,9,89000
0,8,10,89000
0,7,7,89000
0,6,8,89000
0,9,7,89000
0,6,6,89000
0,7,10,90000
0,7,7,90000
0,6,8,90000
0,10,9,90000
0,10,8,90000
0,5,10,90000
0,8,8,90000
0,8,8,90000
0,10,6,90000
0,8,10,90000
0,7,9,90000
0,5,10,90000
0,7,5,90000
0,9,8,90000
0,10,10,90000
0,6,8,90000
0,5,7,90000
0,10,7,91000
0,9,8,91000
0,10,7,91000
0,5,10,91000
0,8,9,91000
0,8,7,91000
0,10,7,91000
0,10,7,91000
0,10,9,91000
0,3,9,91000
0,8,10,91000
0,6,9,91000
0,10,10,91000
0,10,8,91000
0,9,8,91000
0,6,8,91000
0,7,7,91000
0,7,9,91000
0,8,9,91000
0,7,10,91000
0,8,10,91000
0,9,8,91000
0,7,9,91000
0,8,7,91000
0,5,8,91000
0,10,6,91000
0,9,6,92000
0,7,7,92000
0,8,9,92000
0,7,9,92000
0,9,9,92000
0,8,10,92000
0,10,7,92000
0,9,8,92000
0,8,3,92000
0,8,7,92000
0,8,7,92000
0,7,9,92000
0,10,10,93000
0,9,6,93000
0,7,9,93000
0,4,9,93000
0,9,8,93000
0,7,7,93000
0,9,5,93000
0,10,6,93000
0,6,9,93000
0,7,9,93000
0,10,4,93000
0,3,10,93000
0,9,10,94000
0,6,9,94000
0,10,6,94000
0,6,10,94000
0,9,7,94000
0,6,7,94000
0,10,7,94000
0,8,7,94000
0,10,10,94000
0,9,7,94000
0,6,9,94000
0,9,8,95000
0,10,10,95000
0,7,10,95000
0,7,8,95000
0,7,8,95000
0,5,6,95000
0,6,10,95000
0,7,10,95000
0,9,6,95000
0,10,8,95000
0,8,7,95000
0,8,8,95000
0,8,7,95000
0,9,9,95000
0,9,5,95000
0,10,7,95000
0,9,7,96000
0,9,8,96000
0,7,10,96000
0,10,8,96000
0,7,9,96000
0,9,9,96000
0,6,9,96000
0,6,10,96000
0,9,5,96000
0,8,8,97000
0,10,8,97000
0,8,6,97000
0,7,9,97000
0,9,7,97000
0,7,8,97000
0,8,9,97000
0,10,10,97000
0,8,9,97000
0,4,9,97000
0,9,7,97000
0,9,9,98000
0,9,8,98000
0,9,10,98000
0,9,10,98000
0,8,10,98000
0,8,7,98000
0,10,7,98000
0,10,8,98000
0,2,10,98000
0,8,9,98000
0,9,9,98000
0,6,10,98000
0,6,10,98000
0,8,6,98000
0,10,4,98000
0,6,10,98000
0,8,8,98000
0,10,8,98000
0,4,10,99000
0,9,8,99000
0,7,8,99000
0,9,10,99000
0,6,10,99000
0,4,9,99000
0,6,10,99000
0,9,9,99000
0,10,6,99000
0,10,8,99000
0,8,7,99000
0,10,9,99000
0,8,10,100000
0,10,8,100000
0,7,8,100000
0,9,7,100000
0,10,9,100000
0,10,10,100000
0,8,8,100000
0,10,9,100000
0,10,10,100000
0,8,7,100000
0,7,8,100000
0,8,9,100000
0,7,10,101000
0,8,8,101000
0,8,6,101000
0,8,9,101000
0,8,9,101000
0,7,10,101000
0,10,9,101000
0,7,9,101000
0,8,9,101000
0,8,8,101000
0,10,9,101000
0,5,10,102000
0,10,6,102000
0,9,9,102000
0,10,9,102000
0,7,8,102000
0,9,8,102000
0,8,9,103000
0,10,9,103000
0,7,6,103000
0,6,8,103000
0,9,10,103000
0,6,7,103000
0,9,9,103000
0,7,9,103000
0,10,10,103000
0,10,7,104000
0,9,8,104000
0,10,8,104000
0,9,8,104000
0,9,8,104000
0,10,10,104000
0,9,9,104000
0,9,10,104000
0,8,8,104000
0,10,7,104000
0,9,9,104000
0,7,10,104000
0,8,9,105000
0,7,10,105000
0,10,8,105000
0,10,9,105000
0,8,7,105000
0,9,8,106000
0,10,8,106000
0,10,10,106000
0,10,8,106000
0,8,10,106000
0,8,7,106000
0,8,10,106000
0,9,10,106000
0,8,8,106000
0,9,8,106000
0,10,9,107000
0,9,9,107000
0,8,10,107000
0,8,7,107000
0,9,8,107000
0,10,7,107000
0,8,10,108000
0,7,10,108000
0,9,10,108000
0,6,10,108000
0,8,9,108000
0,9,10,109000
0,10,8,109000
0,9,10,109000
0,10,9,110000
0,10,8,110000
0,9,10,110000
0,10,8,110000
0,7,9,111000
0,10,10,111000
0,8,10,111000
0,10,9,111000
0,9,10,112000
0,8,10,112000
0,8,10,112000
0,2,10,112000
0,8,8,112000
0,8,10,113000
0,10,9,113000
0,7,9,113000
0,10,9,113000
0,8,10,114000
0,10,10,116000
0,8,10,116000
0,8,9,116000
0,10,9,116000
0,8,10,116000
0,9,9,116000
0,8,10,116000
0,10,9,116000
0,10,10,117000
0,10,9,117000
0,8,10,117000
0,10,10,118000
0,10,8,118000
0,10,9,119000
0,9,10,119000
0,8,10,119000
0,7,9,120000
0,8,9,121000
0,7,9,121000
0,8,8,122000
0,8,8,122000
0,9,10,124000
0,10,8,126000
0,9,8,126000
0,10,9,127000
0,9,10,129000
0,9,10,136000
0,10,9,142000
0,10,10,149000
1,2,6,50000
1,3,4,50000
1,4,7,50000
1,10,2,50000
1,3,7,50000
1,4,7,50000
1,8,1,50000
1,7,3,50000
1,5,7,50000
1,2,6,50000
1,9,3,50000
1,4,1,50000
1,7,1,50000
1,4,3,50000
1,6,1,50000
1,4,4,50000
1,6,3,50000
1,5,4,50000
1,5,6,50000
1,1,5,50000
1,7,4,50000
1,9,1,50000
1,8,1,50000
1,8,4,50000
1,4,7,50000
1,4,5,50000
1,2,4,50000
1,2,4,50000
1,4,5,50000
1,2,6,50000
1,4,5,50000
1,4,6,50000
1,1,8,50000
1,2,5,50000
1,1,6,50000
1,5,2,50000
1,5,5,50000
1,3,2,50000
1,5,6,50000
1,1,8,50000
1,3,7,50000
1,6,5,50000
1,6,2,50000
1,3,6,50000
1,2,3,50000
1,9,2,50000
1,1,10,50000
1,1,4,50000
1,6,5,50000
1,6,5,50000
1,5,4,50000
1,8,2,50000
1,3,2,50000
1,6,1,50000
1,9,4,50000
1,5,2,50000
1,7,2,50000
1,5,3,50000
1,8,3,50000
1,9,1,50000
1,6,3,50000
1,8,3,50000
1,4,7,50000
1,3,7,50000
1,4,2,50000
1,7,1,50000
1,1,6,50000
1,4,5,50000
1,6,5,50000
1,7,2,50000
1,5,3,50000
1,4,5,50000
1,5,5,50000
1,1,5,50000
1,6,4,50000
1,4,3,50000
1,3,4,50000
1,2,9,50000
1,6,4,50000
1,1,2,50000
1,9,4,50000
1,6,3,50000
1,9,5,50000
1,5,5,50000
1,5,8,50000
1,9,3,50000
1,4,2,50000
1,6,2,50000
1,6,1,50000
1,4,2,50000
1,8,4,50000
1,7,2,50000
1,5,3,50000
1,5,3,50000
1,2,8,50000
1,4,9,50000
1,3,6,50000
1,7,1,50000
1,4,6,50000
1,8,1,50000
1,7,4,50000
1,3,5,50000
1,3,6,50000
1,4,9,50000
1,5,9,50000
1,6,6,50000
1,1,10,50000
1,6,6,50000
1,8,8,50000
1,2,3,50000
1,3,1,50000
1,6,5,50000
1,2,6,50000
1,3,7,50000
1,8,6,50000
1,5,4,50000
1,8,1,51000
1,9,6,51000
1,7,2,51000
1,4,6,51000
1,5,5,51000
1,7,5,51000
1,3,6,51000
1,8,2,52000
1,1,5,52000
1,7,6,52000
1,6,7,52000
1,3,7,52000
1,4,6,52000
1,8,2,52000
1,1,7,52000
1,7,7,52000
1,9,4,52000
1,6,4,52000
1,7,1,52000
1,6,6,53000
1,3,7,53000
1,1,6,53000
1,6,5,53000
1,5,3,53000
1,8,4,53000
1,3,7,53000
1,8,7,54000
1,9,2,54000
1,4,3,54000
1,6,9,54000
1,8,1,54000
1,6,4,54000
1,10,4,54000
1,5,7,54000
1,1,10,55000
1,5,8,55000
1,10,3,55000
1,5,5,55000
1,9,5,55000
1,9,2,55000
1,7,4,55000
1,2,8,55000
1,10,2,55000
1,8,3,55000
1,10,5,55000
1,4,8,55000
1,7,6,55000
1,5,5,55000
1,5,6,56000
1,4,9,56000
1,8,2,56000
1,4,9,56000
1,9,2,56000
1,4,6,56000
1,5,8,56000
1,5,10,56000
1,10,4,56000
1,9,6,56000
1,4,6,56000
1,7,6,56000
1,1,8,56000
1,4,7,56000
1,8,6,57000
1,4,4,57000
1,1,4,57000
1,8,8,57000
1,3,10,57000
1,5,5,57000
1,3,3,57000
1,9,5,57000
1,5,5,57000
1,5,6,57000
1,6,8,57000
1,4,4,57000
1,9,2,57000
1,8,2,58000
1,9,5,58000
1,7,3,58000
1,4,7,58000
1,6,3,58000
1,1,9,58000
1,9,5,58000
1,6,2,58000
1,7,5,58000
1,9,4,59000
1,5,3,59000
1,7,10,59000
1,1,5,59000
1,4,8,59000
1,6,8,59000
1,4,6,59000
1,5,4,59000
1,3,10,60000
1,1,9,60000
1,9,7,60000
1,6,9,60000
1,1,7,60000
1,9,7,60000
1,6,8,60000
1,6,5,60000
1,2,8,60000
1,6,6,60000
1,6,9,60000
1,10,7,60000
1,4,6,60000
1,5,5,60000
1,2,9,60000
1,2,2,60000
1,7,7,60000
1,8,3,60000
1,5,8,60000
1,4,8,60000
1,9,2,60000
1,7,1,61000
1,5,6,61000
1,5,10,61000
1,7,6,61000
1,6,6,61000
1,4,9,61000
1,4,8,61000
1,6,9,61000
1,8,5,61000
1,7,5,61000
1,9,7,61000
1,3,8,61000
1,9,4,61000
1,3,7,61000
1,7,7,61000
1,10,1,61000
1,9,2,61000
1,8,5,61000
1,5,9,62000
1,2,10,62000
1,6,6,62000
1,3,10,62000
1,8,6,62000
1,2,7,62000
1,3,10,63000
1,4,8,63000
1,8,6,63000
1,6,7,63000
1,6,8,63000
1,7,7,63000
1,9,7,63000
1,6,4,63000
1,4,8,63000
1,8,1,63000
1,8,4,63000
1,4,9,63000
1,8,7,64000
1,8,7,64000
1,10,1,64000
1,4,8,64000
1,6,5,64000
1,4,6,64000
1,2,7,64000
1,7,9,64000
1,9,3,64000
1,5,7,64000
1,5,6,64000
1,4,4,64000
1,7,9,64000
1,4,6,64000
1,4,10,64000
1,9,4,65000
1,9,6,65000
1,7,8,65000
1,4,9,65000
1,6,6,65000
1,5,8,65000
1,5,5,65000
1,7,5,65000
1,5,5,65000
1,10,2,65000
1,7,5,65000
1,7,6,65000
1,9,7,65000
1,6,3,65000
1,6,3,65000
1,8,7,65000
1,6,10,66000
1,4,5,66000
1,7,8,66000
1,6,6,66000
1,7,4,66000
1,9,5,66000
1,6,6,66000
1,8,5,66000
1,6,7,67000
1,5,8,67000
